Latency analysis with preference settings: asynchronous system/major partition frame/worst case as deadline/best case as empty queue

Latency results for end-to-end flow 'etef0' of system 'SensorNetwork.impl',

Result,Min Specified,Min Actual,Min Method,Max Specified,Max Actual,Max Method,Comments,
device sensor_unit.co2_sensor,,0.0ms,first sampling,,0.0ms,first sampling,
device sensor_unit.co2_sensor,1.0ms,1.0ms,processing time,2.0ms,2.0ms,deadline,
connection co2_sensor.sensor_data -> controller.data_aggregation.co2_in,,0.0ms,no latency,,0.0ms,no latency,
thread sensor_unit.controller.data_aggregation,,0.0ms,sampling,,100.0ms,sampling,Best case 0 ms worst case 100.0ms (period) sampling delay,
thread sensor_unit.controller.data_aggregation,,10.0ms,processing time,,60.0ms,deadline,
connection sensor_unit.controller.data_aggregation.data_out -> comm_device.controller.data_aggregation.sensor_in,,0.0ms,no latency,,0.0ms,no latency,
thread comm_device.controller.data_aggregation,,0.0ms,sampling,,100.0ms,sampling,Best case 0 ms worst case 100.0ms (period) sampling delay,
thread comm_device.controller.data_aggregation,,1.0ms,processing time,,10.0ms,processing time,Using execution time as deadline was not set,
connection comm_device.controller.data_aggregation.data_out -> mobile_phone.app.data_in,,0.0ms,no latency,,0.0ms,no latency,
process mobile_phone.app,,0.0ms,sampling,,100.0ms,sampling,Best case 0 ms worst case 100.0ms (period) sampling delay,
process mobile_phone.app,1.0ms,1.0ms,specified,2.0ms,2.0ms,deadline,
Latency Total,2.0ms,13.0ms,,4.0ms,374.0ms,,
Specified End To End Latency,,0.0ms,,,0.0ms,,
End to end Latency Summary,
WARNING,Expected end to end latency is not specified,



