Latency analysis with preference settings: asynchronous system/major partition frame/worst case as deadline/best case as empty queue

Latency results for end-to-end flow 'etef0' of system 'SensorUnit.impl',

Result,Min Specified,Min Actual,Min Method,Max Specified,Max Actual,Max Method,Comments,
device co2_sensor,,0.0ms,first sampling,,0.0ms,first sampling,
device co2_sensor,1.0ms,1.0ms,processing time,2.0ms,2.0ms,deadline,
connection co2_sensor.sensor_data -> controller.data_aggregation.co2_in,,0.0ms,no latency,,0.0ms,no latency,
thread controller.data_aggregation,,0.0ms,sampling,,100.0ms,sampling,Best case 0 ms worst case 100.0ms (period) sampling delay,
thread controller.data_aggregation,,0.0ms,no latency,,100.0ms,deadline,Using deadline as execution time was not set,
connection controller.data_aggregation.data_out -> dumb_device.input,,0.0ms,no latency,,0.0ms,no latency,
device dumb_device,1.0ms,1.0ms,specified,2.0ms,2.0ms,specified,
Latency Total,2.0ms,2.0ms,,4.0ms,204.0ms,,
Specified End To End Latency,,0.0ms,,,0.0ms,,
End to end Latency Summary,
WARNING,Expected end to end latency is not specified,



